message,attributes,tags,timestamp
Starting Container,"{""level"":""info""}","{""project"":""13496585-dc4c-4bff-9839-9b9a20639704"",""environment"":""ef7ebcb9-bf85-4373-be26-2cf0827b4ae9"",""service"":""d72b57af-6b60-4703-8732-04b4176eb5ae"",""deployment"":""4e38a2b6-e807-40ca-a0c5-ef64858ddb26"",""replica"":""6c1f6dc1-5fd9-4920-bd52-ca5c27efbe4a""}",2025-09-27T07:57:11.000000000Z
INFO:     Started server process [2],"{""level"":""error""}","{""project"":""13496585-dc4c-4bff-9839-9b9a20639704"",""environment"":""ef7ebcb9-bf85-4373-be26-2cf0827b4ae9"",""service"":""d72b57af-6b60-4703-8732-04b4176eb5ae"",""deployment"":""4e38a2b6-e807-40ca-a0c5-ef64858ddb26"",""replica"":""6c1f6dc1-5fd9-4920-bd52-ca5c27efbe4a""}",2025-09-27T07:57:12.645042392Z
INFO:     Waiting for application startup.,"{""level"":""error""}","{""project"":""13496585-dc4c-4bff-9839-9b9a20639704"",""environment"":""ef7ebcb9-bf85-4373-be26-2cf0827b4ae9"",""service"":""d72b57af-6b60-4703-8732-04b4176eb5ae"",""deployment"":""4e38a2b6-e807-40ca-a0c5-ef64858ddb26"",""replica"":""6c1f6dc1-5fd9-4920-bd52-ca5c27efbe4a""}",2025-09-27T07:57:12.645048480Z
INFO:     Application startup complete.,"{""level"":""error""}","{""project"":""13496585-dc4c-4bff-9839-9b9a20639704"",""environment"":""ef7ebcb9-bf85-4373-be26-2cf0827b4ae9"",""service"":""d72b57af-6b60-4703-8732-04b4176eb5ae"",""deployment"":""4e38a2b6-e807-40ca-a0c5-ef64858ddb26"",""replica"":""6c1f6dc1-5fd9-4920-bd52-ca5c27efbe4a""}",2025-09-27T07:57:12.645055145Z
INFO:     Uvicorn running on http://0.0.0.0:8080 (Press CTRL+C to quit),"{""level"":""error""}","{""project"":""13496585-dc4c-4bff-9839-9b9a20639704"",""environment"":""ef7ebcb9-bf85-4373-be26-2cf0827b4ae9"",""service"":""d72b57af-6b60-4703-8732-04b4176eb5ae"",""deployment"":""4e38a2b6-e807-40ca-a0c5-ef64858ddb26"",""replica"":""6c1f6dc1-5fd9-4920-bd52-ca5c27efbe4a""}",2025-09-27T07:57:12.645061326Z
"INFO:     100.64.0.2:55892 - ""OPTIONS /api/send-verification-code HTTP/1.1"" 200 OK","{""level"":""info""}","{""project"":""13496585-dc4c-4bff-9839-9b9a20639704"",""environment"":""ef7ebcb9-bf85-4373-be26-2cf0827b4ae9"",""service"":""d72b57af-6b60-4703-8732-04b4176eb5ae"",""deployment"":""4e38a2b6-e807-40ca-a0c5-ef64858ddb26"",""replica"":""6c1f6dc1-5fd9-4920-bd52-ca5c27efbe4a""}",2025-09-27T07:58:52.747029418Z
为 facaige494@gmail.com 存储的验证码: 536129,"{""level"":""info""}","{""project"":""13496585-dc4c-4bff-9839-9b9a20639704"",""environment"":""ef7ebcb9-bf85-4373-be26-2cf0827b4ae9"",""service"":""d72b57af-6b60-4703-8732-04b4176eb5ae"",""deployment"":""4e38a2b6-e807-40ca-a0c5-ef64858ddb26"",""replica"":""6c1f6dc1-5fd9-4920-bd52-ca5c27efbe4a""}",2025-09-27T08:00:32.819179629Z
Resend 发送失败，降级到下一通道： HTTP Error 403: Forbidden,"{""level"":""info""}","{""project"":""13496585-dc4c-4bff-9839-9b9a20639704"",""environment"":""ef7ebcb9-bf85-4373-be26-2cf0827b4ae9"",""service"":""d72b57af-6b60-4703-8732-04b4176eb5ae"",""deployment"":""4e38a2b6-e807-40ca-a0c5-ef64858ddb26"",""replica"":""6c1f6dc1-5fd9-4920-bd52-ca5c27efbe4a""}",2025-09-27T08:00:32.819185389Z
"INFO:     100.64.0.3:44522 - ""POST /api/login HTTP/1.1"" 401 Unauthorized","{""level"":""info""}","{""project"":""13496585-dc4c-4bff-9839-9b9a20639704"",""environment"":""ef7ebcb9-bf85-4373-be26-2cf0827b4ae9"",""service"":""d72b57af-6b60-4703-8732-04b4176eb5ae"",""deployment"":""4e38a2b6-e807-40ca-a0c5-ef64858ddb26"",""replica"":""6c1f6dc1-5fd9-4920-bd52-ca5c27efbe4a""}",2025-09-27T08:00:32.819189213Z
邮件发送失败: [Errno 101] Network is unreachable,"{""level"":""info""}","{""project"":""13496585-dc4c-4bff-9839-9b9a20639704"",""environment"":""ef7ebcb9-bf85-4373-be26-2cf0827b4ae9"",""service"":""d72b57af-6b60-4703-8732-04b4176eb5ae"",""deployment"":""4e38a2b6-e807-40ca-a0c5-ef64858ddb26"",""replica"":""6c1f6dc1-5fd9-4920-bd52-ca5c27efbe4a""}",2025-09-27T10:24:49.629084862Z
